id,host_id,host_name,room_type,disctricts,neighbourhoods,price,number_of_reviews,latitude,longitude
6369,13660,Simon,Private room,Chamartín,Hispanoamérica,70,65,40.45628,-3.67763
21853,83531,Abdel,Private room,Latina,Cármenes,17,33,40.40341,-3.74084
24805,101471,Iraido,Entire home/apt,Centro,Universidad,80,2,40.42202,-3.70395
24836,101653,Tenty,Entire home/apt,Centro,Justicia,115,64,40.41995,-3.69764
26825,114340,Agustina,Private room,Arganzuela,Legazpi,25,136,40.38985,-3.69011
30320,130907,Dana,Entire home/apt,Centro,Sol,65,168,40.41552,-3.70346
30959,132883,Angela,Entire home/apt,Centro,Embajadores,54,8,40.41111,-3.70269
40916,130907,Dana,Entire home/apt,Centro,Universidad,90,38,40.42096,-3.70428
59923,288380,Patricia,Private room,Centro,Palacio,40,14,40.41971,-3.71256
62423,303845,Arturo,Private room,Centro,Justicia,45,57,40.4208,-3.69878
70059,353616,Diana,Entire home/apt,Centro,Universidad,65,85,40.42365,-3.70889
70310,353738,Raquel,Entire home/apt,Centro,Universidad,70,18,40.42321,-3.70143
70315,353738,Raquel,Entire home/apt,Centro,Palacio,75,3,40.42138,-3.71101
70316,353738,Raquel,Entire home/apt,Centro,Palacio,75,6,40.42111,-3.7101
72150,364585,Vin,Entire home/apt,Centro,Embajadores,110,95,40.41119,-3.7047
72955,378073,Alvaro,Entire home/apt,Centro,Cortes,85,14,40.41139,-3.69408
74352,391014,Juan,Entire home/apt,Centro,Embajadores,80,5,40.41075,-3.70759
75609,401552,Mercedes,Entire home/apt,Centro,Embajadores,63,53,40.40743,-3.69719
76617,368907,Miguel,Entire home/apt,Centro,Universidad,102,33,40.42791,-3.70999
82481,448981,Mercedes,Entire home/apt,Salamanca,Recoletos,60,108,40.42315,-3.68279
84719,259229,Felipe,Entire home/apt,Centro,Embajadores,60,178,40.40865,-3.70534
86042,364585,Vin,Entire home/apt,Centro,Embajadores,100,140,40.40894,-3.69766
